,Unnamed: 0,Unnamed: 0.1,time,oil_well,ZIT_1244002,PIT_1244007,PIT_1244008,SDY_1210002
306,306,306,2022-11-21 23:28:13.841841,well injection D,21.03125,,,
307,307,307,2022-11-21 23:28:14.138114,well injection C,8.625,29025.75,29124.5,False
308,308,308,2022-11-21 23:28:14.138114,well injection D,,32967.41015625,32915.87890625,
309,309,309,2022-11-21 23:28:19.563328,well injection D,21.03125,,,
310,310,310,2022-11-21 23:28:20.075425,well injection C,8.625,29021.44921875,29124.5,False
311,311,311,2022-11-21 23:28:20.075425,well injection D,,32976.0,32924.46875,
312,312,312,2022-11-21 23:28:25.760150,well injection D,21.03125,,,
313,313,313,2022-11-21 23:28:26.207157,well injection C,8.625,29012.859375,29115.91015625,False
314,314,314,2022-11-21 23:28:26.207157,well injection D,,32945.94140625,32890.12109375,
315,315,315,2022-11-21 23:28:31.959190,well injection D,21.03125,,,
316,316,316,2022-11-21 23:28:32.370931,well injection C,8.625,29025.75,29128.80078125,False
317,317,317,2022-11-21 23:28:32.370931,well injection D,,32941.6484375,32890.12109375,
318,318,318,2022-11-21 23:28:38.044908,well injection D,21.03125,,,
319,319,319,2022-11-21 23:28:38.499077,well injection C,8.625,29025.75,29124.5,False
320,320,320,2022-11-21 23:28:38.499077,well injection D,,32976.0,32924.46875,
321,321,321,2022-11-21 23:28:44.244577,well injection D,21.03125,,,
